train_size,seed,fold,test_n,router_correct,router_acc
10,0,0,39,34,0.8717948717948718
10,0,1,39,35,0.8974358974358975
10,0,2,39,35,0.8974358974358975
10,0,3,39,35,0.8974358974358975
10,0,4,39,35,0.8974358974358975
10,1,0,39,34,0.8717948717948718
10,1,1,39,34,0.8717948717948718
10,1,2,39,33,0.8461538461538461
10,1,3,39,36,0.9230769230769231
10,1,4,39,34,0.8717948717948718
10,2,0,39,30,0.7692307692307693
10,2,1,39,35,0.8974358974358975
10,2,2,39,36,0.9230769230769231
10,2,3,39,35,0.8974358974358975
10,2,4,39,35,0.8974358974358975
10,3,0,39,37,0.9487179487179487
10,3,1,39,33,0.8461538461538461
10,3,2,39,35,0.8974358974358975
10,3,3,39,38,0.9743589743589743
10,3,4,39,30,0.7692307692307693
10,4,0,39,33,0.8461538461538461
10,4,1,39,34,0.8717948717948718
10,4,2,39,36,0.9230769230769231
10,4,3,39,38,0.9743589743589743
10,4,4,39,34,0.8717948717948718
25,0,0,39,33,0.8461538461538461
25,0,1,39,33,0.8461538461538461
25,0,2,39,37,0.9487179487179487
25,0,3,39,33,0.8461538461538461
25,0,4,39,37,0.9487179487179487
25,1,0,39,33,0.8461538461538461
25,1,1,39,37,0.9487179487179487
25,1,2,39,38,0.9743589743589743
25,1,3,39,32,0.8205128205128205
25,1,4,39,34,0.8717948717948718
25,2,0,39,34,0.8717948717948718
25,2,1,39,35,0.8974358974358975
25,2,2,39,32,0.8205128205128205
25,2,3,39,36,0.9230769230769231
25,2,4,39,37,0.9487179487179487
25,3,0,39,35,0.8974358974358975
25,3,1,39,34,0.8717948717948718
25,3,2,39,34,0.8717948717948718
25,3,3,39,36,0.9230769230769231
25,3,4,39,36,0.9230769230769231
25,4,0,39,33,0.8461538461538461
25,4,1,39,36,0.9230769230769231
25,4,2,39,34,0.8717948717948718
25,4,3,39,37,0.9487179487179487
25,4,4,39,34,0.8717948717948718
50,0,0,39,36,0.9230769230769231
50,0,1,39,36,0.9230769230769231
50,0,2,39,35,0.8974358974358975
50,0,3,39,33,0.8461538461538461
50,0,4,39,34,0.8717948717948718
50,1,0,39,35,0.8974358974358975
50,1,1,39,35,0.8974358974358975
50,1,2,39,35,0.8974358974358975
50,1,3,39,38,0.9743589743589743
50,1,4,39,33,0.8461538461538461
50,2,0,39,35,0.8974358974358975
50,2,1,39,35,0.8974358974358975
50,2,2,39,36,0.9230769230769231
50,2,3,39,34,0.8717948717948718
50,2,4,39,34,0.8717948717948718
50,3,0,39,36,0.9230769230769231
50,3,1,39,37,0.9487179487179487
50,3,2,39,36,0.9230769230769231
50,3,3,39,34,0.8717948717948718
50,3,4,39,31,0.7948717948717948
50,4,0,39,32,0.8205128205128205
50,4,1,39,36,0.9230769230769231
50,4,2,39,35,0.8974358974358975
50,4,3,39,35,0.8974358974358975
50,4,4,39,33,0.8461538461538461
100,0,0,39,34,0.8717948717948718
100,0,1,39,33,0.8461538461538461
100,0,2,39,35,0.8974358974358975
100,0,3,39,35,0.8974358974358975
100,0,4,39,35,0.8974358974358975
100,1,0,39,31,0.7948717948717948
100,1,1,39,38,0.9743589743589743
100,1,2,39,29,0.7435897435897436
100,1,3,39,37,0.9487179487179487
100,1,4,39,34,0.8717948717948718
100,2,0,39,34,0.8717948717948718
100,2,1,39,33,0.8461538461538461
100,2,2,39,35,0.8974358974358975
100,2,3,39,34,0.8717948717948718
100,2,4,39,34,0.8717948717948718
100,3,0,39,36,0.9230769230769231
100,3,1,39,34,0.8717948717948718
100,3,2,39,33,0.8461538461538461
100,3,3,39,33,0.8461538461538461
100,3,4,39,37,0.9487179487179487
100,4,0,39,34,0.8717948717948718
100,4,1,39,36,0.9230769230769231
100,4,2,39,31,0.7948717948717948
100,4,3,39,35,0.8974358974358975
100,4,4,39,35,0.8974358974358975
158,0,0,39,31,0.7948717948717948
158,0,1,39,34,0.8717948717948718
158,0,2,39,36,0.9230769230769231
158,0,3,39,37,0.9487179487179487
158,0,4,39,35,0.8974358974358975
158,1,0,39,35,0.8974358974358975
158,1,1,39,36,0.9230769230769231
158,1,2,39,34,0.8717948717948718
158,1,3,39,34,0.8717948717948718
158,1,4,39,33,0.8461538461538461
158,2,0,39,34,0.8717948717948718
158,2,1,39,35,0.8974358974358975
158,2,2,39,35,0.8974358974358975
158,2,3,39,34,0.8717948717948718
158,2,4,39,32,0.8205128205128205
158,3,0,39,34,0.8717948717948718
158,3,1,39,35,0.8974358974358975
158,3,2,39,36,0.9230769230769231
158,3,3,39,36,0.9230769230769231
158,3,4,39,32,0.8205128205128205
158,4,0,39,36,0.9230769230769231
158,4,1,39,33,0.8461538461538461
158,4,2,39,36,0.9230769230769231
158,4,3,39,35,0.8974358974358975
158,4,4,39,34,0.8717948717948718
